iteration,wallclock_s,games,avg_moves,buffer_size,loss_policy,loss_value,entropy_policy,wr_random,wr_policy_random,wr_mcts200,wr_best,elo,gated
57,10866.5,128,30.71,150000,1.0626,0.3942,1.0623,1.0,1.0,0.925,0.5375,1396.6,0
58,11068.7,128,30.93,150000,1.0536,0.3835,1.0509,1.0,1.0,0.9375,0.575,1425.7,1
59,11262.5,128,29.4,150000,1.0527,0.3881,1.0543,1.0,1.0,0.9625,0.55,1500.7,0
60,11460.7,128,30.7,150000,1.0478,0.3825,1.0459,1.0,1.0,0.9375,0.425,1425.7,0
61,11662.6,128,31.12,150000,1.0534,0.3839,1.0531,1.0,1.0,0.9,0.6125,1348.1,1
62,11854.6,128,28.71,150000,1.0425,0.376,1.0439,1.0,1.0,0.9875,0.475,1625.6,0
63,12047.8,128,29.38,150000,1.0472,0.3773,1.046,1.0,0.95,0.925,0.6625,1396.6,1
64,12249.4,128,30.72,150000,1.0502,0.3822,1.047,1.0,1.0,0.95,0.3875,1459.7,0
65,12453.7,128,31.23,150000,1.0374,0.3738,1.036,1.0,1.0,0.8875,0.5375,1327.4,0
66,12648.0,128,29.16,150000,1.037,0.3632,1.0383,1.0,1.0,1.0,0.7,1625.6,1
67,12852.2,128,32.69,150000,1.036,0.3685,1.0352,1.0,1.0,0.95,0.675,1459.7,1
68,13061.0,128,32.29,150000,1.0216,0.3707,1.0218,1.0,1.0,0.875,0.6,1308.4,1
69,13276.9,128,33.59,150000,1.0251,0.3664,1.0258,1.0,1.0,1.0,0.65,1625.6,1
70,13484.0,128,31.91,150000,1.0178,0.3624,1.0154,1.0,1.0,0.975,0.4875,1553.0,0
71,13688.5,128,30.27,150000,1.0187,0.3561,1.0169,1.0,1.0,0.975,0.5375,1553.0,0
72,13891.6,128,32.87,150000,1.01,0.3665,1.0103,1.0,1.0,0.9375,0.65,1425.7,1
73,14098.5,128,32.16,150000,1.0103,0.3495,1.0098,1.0,1.0,0.975,0.575,1553.0,1
74,14300.3,128,31.2,150000,1.0156,0.3553,1.0146,1.0,1.0,1.0,0.45,1625.6,0
75,14502.3,128,32.24,150000,1.0112,0.3536,1.0089,1.0,1.0,0.9875,0.6625,1625.6,1
76,14700.7,128,29.76,150000,1.0047,0.3536,1.0047,1.0,1.0,0.95,0.525,1459.7,0
77,14902.5,128,32.16,150000,1.0023,0.3665,1.0029,1.0,1.0,0.925,0.4125,1396.6,0
78,15105.8,128,30.67,150000,1.003,0.3501,1.0005,1.0,1.0,0.9375,0.6375,1425.7,1
79,15305.5,128,31.04,150000,0.9955,0.3447,0.9964,1.0,1.0,1.0,0.45,1625.6,0
80,15494.7,128,27.7,150000,0.9904,0.3501,0.9893,1.0,1.0,0.975,0.6375,1553.0,1
81,15698.4,128,29.57,150000,0.9913,0.3386,0.9886,1.0,1.0,1.0,0.5375,1625.6,0
82,15903.6,128,31.56,150000,0.9955,0.3395,0.9964,1.0,1.0,0.975,0.5375,1553.0,0
83,16099.7,128,28.51,150000,0.9996,0.3293,0.9992,1.0,1.0,1.0,0.6375,1625.6,1
84,16292.2,128,28.14,150000,0.993,0.3322,0.9911,1.0,1.0,0.975,0.5875,1553.0,1
85,16485.2,128,29.64,150000,0.9906,0.33,0.99,1.0,1.0,0.95,0.5375,1459.7,0
86,16680.3,128,29.89,150000,0.9889,0.3129,0.9868,1.0,1.0,1.0,0.4875,1625.6,0
87,16881.9,128,30.77,150000,1.0005,0.3159,0.9991,1.0,1.0,0.9375,0.475,1425.7,0
88,17069.2,128,28.14,150000,0.9959,0.3199,0.9981,1.0,1.0,0.9875,0.4125,1625.6,0
89,17265.5,128,28.62,150000,0.9917,0.3165,0.989,1.0,0.9875,1.0,0.5125,1625.6,0
90,17455.4,128,26.78,150000,0.9939,0.3138,0.9956,1.0,1.0,0.975,0.5625,1553.0,1
91,17647.3,128,29.37,150000,0.9856,0.3219,0.9823,1.0,1.0,1.0,0.55,1625.6,0
92,17830.5,128,27.83,150000,0.9872,0.3083,0.9841,1.0,1.0,1.0,0.55,1625.6,0
93,18021.2,128,28.95,150000,0.9829,0.3032,0.9847,1.0,1.0,0.975,0.4875,1553.0,0
94,18213.6,128,30.33,150000,0.9924,0.3104,0.9919,1.0,1.0,0.925,0.5125,1396.6,0
95,18406.8,128,28.82,150000,0.9842,0.3032,0.9826,1.0,1.0,1.0,0.6,1625.6,1
96,18604.7,128,29.02,150000,0.9825,0.2977,0.9823,1.0,1.0,0.9875,0.4625,1625.6,0
97,18799.1,128,28.45,150000,0.9912,0.2979,0.9915,1.0,1.0,0.975,0.5375,1553.0,0
98,18986.9,128,29.79,150000,0.9837,0.2915,0.9795,1.0,1.0,0.975,0.5625,1553.0,1
99,19171.8,128,28.08,150000,0.9858,0.2979,0.9856,1.0,0.975,0.9625,0.575,1500.7,1
100,19360.4,128,28.38,150000,0.9791,0.294,0.9802,1.0,0.975,0.975,0.575,1553.0,1
101,19560.3,128,29.4,150000,0.9801,0.2916,0.9774,1.0,1.0,0.975,0.5625,1553.0,1
102,19742.1,128,27.23,150000,0.9791,0.2781,0.9781,1.0,1.0,1.0,0.575,1625.6,1
103,19930.0,128,29.34,150000,0.9845,0.288,0.9825,1.0,1.0,1.0,0.4625,1625.6,0
104,20118.9,128,27.5,150000,0.9874,0.2723,0.9861,1.0,1.0,1.0,0.525,1625.6,0
105,20306.2,128,27.66,150000,0.9913,0.2732,0.9905,1.0,1.0,1.0,0.575,1625.6,1
106,20493.1,128,28.31,150000,0.9777,0.2673,0.9766,1.0,1.0,0.9875,0.425,1625.6,0
107,20686.2,128,29.59,150000,0.9866,0.2588,0.9867,1.0,1.0,1.0,0.525,1625.6,0
108,20874.9,128,27.49,150000,0.9906,0.2707,0.9894,1.0,1.0,0.975,0.5375,1553.0,0
109,21061.2,128,28.1,150000,0.9905,0.2654,0.9895,1.0,1.0,0.975,0.575,1553.0,1
110,21248.7,128,27.36,150000,0.9827,0.2637,0.9793,1.0,1.0,0.975,0.5375,1553.0,0
111,21438.1,128,28.45,150000,0.9919,0.2679,0.9916,1.0,1.0,0.9875,0.6375,1625.6,1
112,21622.4,128,27.15,150000,0.9908,0.2446,0.9888,1.0,0.9875,0.975,0.5125,1553.0,0
113,21814.0,128,29.65,150000,0.9933,0.2415,0.9931,1.0,1.0,1.0,0.4875,1625.6,0
114,22007.9,128,28.71,150000,0.9937,0.2378,0.9912,1.0,1.0,0.975,0.5375,1553.0,0
115,22201.1,128,29.52,150000,0.9935,0.2362,0.9936,1.0,1.0,0.95,0.525,1459.7,0
116,22391.4,128,28.57,150000,0.9972,0.2245,0.9953,1.0,1.0,1.0,0.5625,1625.6,1
117,22583.8,128,28.67,150000,0.989,0.2169,0.9882,1.0,1.0,0.9875,0.4375,1625.6,0
118,22771.6,128,27.55,150000,0.9941,0.2249,0.9927,1.0,1.0,1.0,0.5,1625.6,0
119,22964.4,128,29.68,150000,1.004,0.2183,1.0025,1.0,1.0,1.0,0.525,1625.6,0
120,23156.9,128,29.08,150000,0.9993,0.211,1.0002,1.0,1.0,1.0,0.5,1625.6,0
121,23348.8,128,29.46,150000,1.0029,0.2037,1.0005,1.0,1.0,1.0,0.5875,1625.6,1
122,23535.1,128,28.63,150000,0.9977,0.2173,0.9969,1.0,1.0,0.975,0.5375,1553.0,0
123,23720.9,128,28.2,150000,1.0026,0.1979,1.0032,1.0,1.0,0.9875,0.5,1625.6,0
124,23909.0,128,27.99,150000,1.0076,0.2,1.0067,1.0,1.0,0.975,0.45,1553.0,0
125,24090.7,128,26.42,150000,0.9913,0.205,0.9903,1.0,1.0,0.975,0.5375,1553.0,0
126,24270.2,128,27.67,150000,1.0121,0.1961,1.0086,1.0,1.0,0.9625,0.5125,1500.7,0
127,24456.0,128,27.47,150000,1.0174,0.1953,1.0183,1.0,1.0,1.0,0.45,1625.6,0
128,24633.0,128,26.35,150000,1.0098,0.1935,1.0082,1.0,1.0,0.975,0.475,1553.0,0
129,24812.3,128,25.95,150000,1.0117,0.1927,1.01,1.0,1.0,1.0,0.525,1625.6,0
130,24999.2,128,28.57,150000,1.0095,0.1782,1.0095,1.0,1.0,1.0,0.5125,1625.6,0
131,25185.6,128,27.53,150000,1.0178,0.1835,1.0161,1.0,1.0,0.975,0.55,1553.0,0
132,25372.0,128,28.95,150000,1.012,0.1836,1.0119,1.0,1.0,0.975,0.475,1553.0,0
133,25554.8,128,26.81,150000,1.0087,0.1727,1.0084,1.0,1.0,0.975,0.5,1553.0,0
134,25736.2,128,26.51,150000,1.0142,0.1689,1.0123,1.0,1.0,1.0,0.5,1625.6,0
135,25918.1,128,28.2,150000,1.0244,0.1618,1.0214,1.0,1.0,1.0,0.5625,1625.6,1
136,26096.3,128,26.3,150000,1.0218,0.1663,1.0228,1.0,1.0,1.0,0.5125,1625.6,0
137,26275.9,128,27.16,150000,1.0242,0.1545,1.0221,1.0,1.0,1.0,0.6375,1625.6,1
138,26463.1,128,28.23,150000,1.0247,0.1623,1.0266,1.0,1.0,1.0,0.4625,1625.6,0
139,26645.4,128,26.53,150000,1.0272,0.1624,1.0258,1.0,1.0,0.975,0.475,1553.0,0
140,26828.4,128,28.41,150000,1.0147,0.1636,1.0131,1.0,1.0,0.975,0.5,1553.0,0
141,27006.5,128,27.08,150000,1.038,0.1625,1.0371,1.0,1.0,1.0,0.5375,1625.6,0
142,27180.9,128,25.63,150000,1.0334,0.1561,1.0311,1.0,1.0,0.975,0.525,1553.0,0
143,27360.1,128,26.09,150000,1.038,0.1619,1.0359,1.0,1.0,1.0,0.5875,1625.6,1
144,27541.6,128,27.39,150000,1.0339,0.1552,1.0355,1.0,1.0,1.0,0.65,1625.6,1
145,27731.3,128,28.52,150000,1.0329,0.1594,1.0328,1.0,1.0,0.975,0.425,1553.0,0
146,27922.9,128,29.38,150000,1.0369,0.1696,1.0355,1.0,1.0,1.0,0.5,1625.6,0
147,28118.4,128,28.63,150000,1.0341,0.1642,1.0329,1.0,1.0,1.0,0.525,1625.6,0
148,28311.7,128,28.95,150000,1.0396,0.1556,1.037,1.0,1.0,1.0,0.5375,1625.6,0
149,28503.3,128,28.05,150000,1.0421,0.1565,1.0426,1.0,1.0,1.0,0.6625,1625.6,1
